推文,標題,日期,網址,內容
0,[食記] 九州福岡 米其林Bib Gourmand 星期菜, 1/02,http://www.ptt.cc/bbs/Food/M.1546399632.A.A71.html,店    名：星期菜 須崎町店地    址：福岡県福岡市博多区須崎町4-19 ブライトンハイツ 1F營業時間：中餐11:30 ～ 14:00、晚餐17:30 ～ 22:00休    日：星期日推薦食物：海鮮麵最低消費：～￥999網誌圖文版：https://biglegsrabbit.blogspot.jp/2018/03/1_11.html星期菜集團下有三間名為星期菜的分店，其中「星期菜 須崎町店」是曾獲得2014福岡、佐賀米其林特別版中「Bib Gourmand」認證，菜色以中國、香港、台灣風的料理為主，又之前寫過「星期菜 水上公園店」食記，可參考不同餐點內容。須崎町位在橫街雜巷內，附近為住宅區，店面很小，白底黑字的招牌可勉強識別，外頭僅一扇拉門分隔裡外，通常美味的菜餚都藏身於如此樸實的店頭裡，令人拭目以待。店外有擺出當天的午間菜單，可先看過再決定是否入內享用。值得注意的是，營業時間較短，且店內座位不多，有時一等也是十幾來分，需要斟酌行程時間。依稀記得店內僅約四到五張餐桌，以及一名廚師和一名店員，麻雀雖小，五臟俱全，服務品質和環境整潔一點也不馬虎。我們當時約一點到店用餐，店內為滿席狀態，用餐多為當地人，可見在地評價確實出色。簡單的黃褐色調餐桌在晚餐時搭配黃光挺有氣氛，與店內白水泥牆的對比相較樸實，而玻璃水杯則顯得格外晶亮冰冷。官網上獨缺須崎町店的網頁，所以無法先行參考菜單。店家中午菜單以日文呈現，由於中華料理不少漢字表達，應不用擔心語言問題。中餐主要提供麵與飯的套餐組合，晚餐則以單點形式為主，晚餐的價位比中午高出許多，菜式當然也更出色。「星期菜」店名的來源是指每星期的菜色會依顧客做調整，不斷推陳出新，以呈現香港、台灣風的料理原則下，並能符合顧客口味做適當變化，希望以低價位提供高品質的料理，也與「Bib Gourmand」推薦原則相符。我們各選了一道套餐，分別是「叉燒蔥油湯麵」和「海鮮香菇湯麵」。「チャーシューとネギの香り汁そば」プラス「四川風肉みそごはん」(叉燒蔥油湯麵+肉崧醬飯)(日幣680元)，這碗湯麵配料單純，以切薄片的瘦肉、洋蔥絲與青蔥末為主，湯頭加入些許油蔥酥，味道濃香。洋蔥絲未泡至過軟，與肉片同食別有滋味。這裡的麵條色澤微黃，口感稍硬，和碗中其他配料衝突感分明，吃起來味覺層次更為豐富，與台灣陽春麵條極為不同。「四川風肉みそごはん」(肉崧醬飯)(日幣250元)，在台灣，我們稱這碗為肉燥飯，這裡的肉燥飯，常是以乾且瘦肉燥的形式附在飯上食用，口感乾硬，滋味偏鹹，應是來自味噌調味。飯中加入不少日本水菜，味道像豆苗，質地清爽，生食或煮湯都可，能中和肉燥鹹度。「海鮮ときのンの汁そば」プラス「蒸し雞の山椒ごはん」(海鮮香菇湯麵+白切雞飯)(日幣950元)，這一碗滋味特好，讓平日不食海鮮麵的大腳兔也能暢快吃上整碗。碗中海鮮配料豐富，料也給的實在，例如蝦仁、魷魚、烏賊、花枝等，再撒上酌量豆芽，以南瓜點綴，既成一碗湯鮮味美的海鮮麵。麵條雖與叉燒蔥油湯麵無不相同，滋味卻因鮮甜的湯頭與配料的豐腴口感猶勝一籌。喜歡吃海鮮麵的旅人請務必點上一碗。「蒸し雞の山椒ごはん」(白切雞飯)(日幣250元)，原本海鮮香菇湯麵附的是白飯，可向店家補差額換其他口味的飯類，例如白飯單點是日幣150元，所以補日幣100元換成白切雞飯。這碗飯以白煮雞肉條和水菜為主，肉質軟嫩無過多調味，惟水菜份量過多，咀嚼偏乾，香氣稍遜肉崧醬飯。--
0,[食記] 高雄 人氣鐵板牛排老店 佳家牛排, 1/02,http://www.ptt.cc/bbs/Food/M.1546400288.A.CFD.html,   餐廳名稱：佳家牛排   消費時間：2018/12   地址：807高雄市三民區陽明路217號   電話： 07 392 2233   營業時間：17:00~23:00　星期三休息   每人平均價位：100左右   可否刷卡：不行   有無包廂：無   推薦菜色：牛排https://goo.gl/kJhPzw  圖文 短短幾張這間是之前去吃黑人當歸時，群組裡的朋友推薦的美食想說位置也近近的就揪我弟一起去了，哈哈這間佳家牛排也是在陽明路上，認真說來這吃飯別開車阿整條路到吃飯時間亂七八糟的，一大堆違停又沒騎樓可以走要嘛就停遠一點，要嘛就走路來吧，不然光交通就會很阿紮價格上佳家沒有特別貴啦，跟我們愛吃的高應大那間比差不多不過鐵板麵５０／豬排９０就真比較便宜一點只是提醒大家，能外帶就外帶吧店裡面的位置真的太擠了，肥宅如我跟一群妹子背對背坐整個超級擠，店家又不提供大型餐巾紙兩桌東西輪流上菜時，我們都一直互相在逃離座位汁都可以噴到後面的人了啦說真的這樣的用餐環境真的很不舒服，吃得很有壓力阿不過這間店也是在地老店了，朋友說他以前吃的時候是蠻好坐的現在大概是因為來客數太多了沒辦法只好大家一起擠一擠後面的妹子們好像也是第一次去吃，整頓飯都在討論佳家哈哈店內提供玉米濃湯跟紅茶（？）免費使用味道很淡，我覺得很普通哈哈哈哈然後我看到有阿伯貌似不小心把碗掉近湯鍋後就沒繼續喝了不過這鐵板我喜歡，很可愛的牛牛造型佳家的份量我覺得還好都是多在麵食的部分，肉其實就正常份量麵食真的太多了，我已經屬於很會吃的大食怪了這份我吃到後面都開始恍神了，一日澱粉超量補充完畢哈哈我弟點的是厚片，感覺上是真的有比較多啦肉質其實還好而已，這類的我個人並不要求肉品要多好醬的部份都是直接淋好黑胡椒醬，不需要的話要先說不過我們第一次去也不知道是這樣哈哈哈哈像我們是比較喜歡自己用，沒到非常喜歡吃滿滿的醬料也是因為這醬真的噴到全身都是ＸＤＤＤ味道上也一般，不會到不好吃，但也沒有小金龍飛出來看著滿滿的人潮，我還是無法理解哈哈哈哈只能說老店的存在一定有他的理由在，只是我還沒辦法去體會到他的好請看噴的整桌子都是，還沒有大紙巾可以阻擋噴上身的慘況我個人還是比較喜歡吃高應大附近的鐵板牛排還有附贈香蒜麵包自行取用，店內空間也較大有冷氣哈哈住附近吃吃沒問題，但就不需要從遠遠的地方特地去吃囉佳家牛排地址： 807高雄市三民區陽明路217號開放時間：　17:00~23:00　星期三休息電話： 07 392 2233--「最完美的謊言，是說的人講一半，聽的人幫他圓另外一半。」--
0,[食記] 大阪心齋橋 Umineko日本精釀啤酒立飲Bar, 1/02,http://www.ptt.cc/bbs/Food/M.1546400881.A.36A.html,   餐廳名稱：Umineko Craft Beer Stand   消費時間：2018年/12月   地址：大阪府大阪市中央区心斎橋筋2丁目2-11   營業時間：17:00–00:00 週三公休   每人平均價位：650   可否刷卡：可   有無包廂：ＮＡ   推薦菜色：啤酒   圖文網誌： https://auntie.tw/umineko-craft-beer-stand/＝＝＝＝＝＝＝＝＝＝＝＝＝＝這次跟家人去大阪玩耍，去了幾家蠻有特色的酒吧，其中一家最令人印象深刻也最推薦的就是這家位於心齋橋商店街附近的“Umineko Craft Beer Stand ”，日本精釀啤酒專賣店，會發現這家啤酒bar是前一天拖著行李要去民宿時看到的，看起來很有氣氛，小小間的，木質裝潢裝潢擺飾都很溫馨，是立飲啤酒Bar!啤酒蠻多款的，而且都可以試喝，店員會一點英文，而且很親切，店內的Caft Beer都是日本當地的釀酒廠生產的，牆上有排名，第一名是大阪產的，不過其實味道還好，其他款反而比較好喝耶！這次點了四款啤酒，有些帶著柚子香氣，有些有水果味，這次點了冬季限定的熱啤酒，裡頭還加了一片萊姆，喝起來偏甜，有點像是柚子茶的味道，第一次喝熱啤酒，很特別耶！其實店裡還有一些配啤酒的小點，像是花生之類，回來上網查資料，看到還有些簡餐類，不過這次沒點。大家晚上如果想喝一點不一樣的啤酒，又不想環境有煙味酒氣的話，這家Umineko Craft Beer Stand 很適合來放鬆喝一杯，小小間很有氣氛又乾淨，超推薦！--                                  01/02 11:48
0,[食記] 墨爾本 有間麵館(GO Noodle House), 1/02,http://www.ptt.cc/bbs/Food/M.1546407866.A.431.html,"   餐廳名稱：有間麵館(GO Noodle House)   消費時間：2019年/1月   地址：195 Exhibition Street, Melbourne, VIC 3000   每人平均價位：AUD$15   可否刷卡：可   推薦菜色：三鮮湯底的各式麵類   圖文好讀版：https://mikeyjiujiu.com/blog/post/20190102012014年發跡於馬來西亞的有間麵館，僅用短短四年時間，便發展成擁有30多家店面的人氣麵館。2017年更創下一年賣出六百萬碗麵的記錄！2018年10月，有間麵館進軍美食雲集的墨爾本，於CBD唐人街開設第一家海外分店。有間麵館的點餐方式是先選擇喜歡的主食，如海鮮、肉類、丸類…等，再選擇麵體，最後則是選擇三鮮湯或秘製辣香湯為湯底。另外也有店家手工製作的板麵及馬來西亞特色菜可供挑選！三鮮湯板麵（Superior Soup Pan Mee） AUD$13.80三鮮湯是有間麵館的招牌湯頭。選用新鮮魚骨熬製而成，味道鮮甜；上桌前加入的花雕酒更是增其風味！手工板麵嚐起來Q彈有勁，佐料的碎肉末、小魚乾、黑木耳、油蔥，看似簡單卻富有層次的口感，是吃完會讓人回味再三的美食！豬牛合并秘製辣香湯米線（Beef & Pork Combo Home Made Spicy Soup Mi Xian） AUD$15.80豬牛合并秘製辣香湯米線的用料實在，除了帶有嚼勁的豬五花肉片及文火慢煮的牛肉片外，更加入店家自製的豬肉丸及牛肉丸；搭配爽滑Q彈的米線，口感上非常豐富！惟偏酸的秘製辣香湯底較不合個人的口味外，仍是一碗十分不錯的麵點。【店名】：有間麵館（GO Noodle House）【地址】：195 Exhibition Street, Melbourne, VIC 3000【推薦指數】：★★★★★★★★☆☆--小麥&鳩鳩的閒話家常Blog：http://mikeyjiujiu.com/blog小麥&鳩鳩的閒話家常粉絲團：https://www.facebook.com/mikeyjiujiu/--                                01/02 13:47"
0,[食記] 北市萬華 老先覺麻辣窯燒鍋, 1/02,http://www.ptt.cc/bbs/Food/M.1546409901.A.661.html,萬華西藏店（二代升級店）台北市萬華區西藏路176號(02)2302-8890周一 ~ 周日 營業時間11:30~21:30內用最後點餐時間:20:40外帶最後點餐時間:21:00價位150~250/人新開幕的老先覺二代店趁著天冷來嘗鮮看看走進店內是大理石紋桌面明亮的感覺因為新開幕 感覺很乾淨舒服我點的是韓式泡菜鍋有酸有辣有夠味老公點的是厚實龍谷濃郁的白湯 單喝很好喝配料比起連鎖的錢X少了滿多CP值可能沒那麼高!但湯頭有9種可選也算是一大特色肉我選左-大眾牛老公選右-雪花牛肉吃起來口感普通大眾牛真的很肥雪花牛吃起來比較剛好但要加費30圓唷!店內白飯 飲料跟冰淇淋無限量供應醬料區也很有特色辣醬跟南乳醬都可以嘗試看看但其實湯頭很有味道醬料比較少有用武之地平常跟著不吃辣的老公所以吃一般的火鍋都無法享受辣來這裡吃一個人一鍋 自己挑自己喜歡的吃起來小巧 但是如果大胃王 吃起來可能就不划算喜歡吃點不一樣的鍋物我覺得湯頭是有用心熬煮東西吃起來也很順口想要簡單吃一頓時 也是不錯的好選擇有圖有真相https://goo.gl/9Z4gs1--
0,[食記] 台中西區 I'm Talato。一起徜徉冰淇淋海~, 1/02,http://www.ptt.cc/bbs/Food/M.1546413112.A.212.html,   餐廳名稱：I'm Talato我是塔拉朵，愛台灣的義式冰淇淋   消費時間：2018/12   地址：台中市西區英才路451號   電話：(04)2305-8908   營業時間：11:30~19:30   每人平均價位：150~250   可否刷卡：可   有無包廂：無   推薦菜色：抹茶冰淇淋、紅心芭樂冰淇淋圖文網誌版：http://happylife698.pixnet.net/blog/post/226783754離開R星咖啡，小綿羊一行人來到勤美與草悟道，一邊散步、一邊尋找續攤的甜點店。【廣編特輯】台中西區 R星咖啡。可愛又夢幻的喵星人餐廳，超浮誇的野餐籃三明治當天豔陽高照，眾人紛紛表示想吃冰品，於是就決定來拜訪這家曾經轟動一時的I'mTalato我是塔拉朵啦~~~這家店其實非常顯眼，門口有著粉紅色的蹺蹺板，以及指標性的粉紅與白色甜筒。挑高的用餐空間約莫可以容納30位客人，內用有用餐時間60分鐘的限制。店內有一半的空間是for網美拍照，其中讓許多人趨之若鶩的莫過於這座冰淇淋池，提醒大家入內要記得脫鞋喔！店家還貼心的設置一個鷹架平台，讓客人可以由上往下空拍，有沒有覺得好像在IG上看過似曾相識的照片呢？是不是很可愛啊(自己講XD)塔拉朵有將近20種口味的冰淇淋，不知從何選起時，不妨到櫃檯前試吃一輪吧~~~Menu除了最基本的冰淇淋甜筒，也有提供多款創意冰淇淋料理與套餐，餐點均沒有額外收取服務費。店內低消每人150元，最簡單的滿足方式就是點一份雙球冰淇淋 (NT. 150)，甜筒是贈送的。喜歡與眾不同的小綿羊選擇了爐烤蜜紅豆地瓜搭配抹茶冰淇淋 (NT. 160)，由於地瓜是現烤，需要等候約莫10分鐘。先來說說烤地瓜，表面有一層脆脆的焦糖，地瓜本身又甜又鬆軟，裡頭居然還包著不少蜜紅豆呢！一旁的冰淇淋選用台灣產的峨嵋抹茶，小小一球讓人意猶未盡。不過，吃完整份甜點有種貌合神離的感覺，是兩款各自獨立的甜點被組裝成盤，少了點融合性。【分項評比】美味度：★★★☆CP值：★★★☆用餐氣氛：★★★☆服務態度：★★★☆小結：年紀大了，逐漸變得不熱衷於拍攝如此具有少女心的照片。對於想吃甜點的朋友，小綿羊覺得有其他更好的選擇；但如果純粹想吃冰淇淋，倒是可以來I'm Talato我是塔拉朵，有蠻多特殊口味可以嚐鮮。--歡迎追蹤小綿羊の樂活日誌~~~Blog：http://happylife698.pixnet.net/blogFacebook：https://www.facebook.com/happylife698/--                                     01/02 15:12
0,[食記] 高雄 Tres Bon 好吃, 1/02,http://www.ptt.cc/bbs/Food/M.1546419618.A.8E3.html,   餐廳名稱：Tres Bon 好吃   消費時間：2018/11   地址：高雄市鼓山區河西一路1445號   電話：0963-066268   營業時間：平日08:30-17:00 假日08:30-15:00 (每月不定休)   每人平均價位：150   可否刷卡：否   有無包廂：無==============================================================================http://pinkmayday0928.pixnet.net/blog/post/465582791願景橋旁的風景總是讓人流連忘返真心覺得這區居住環境真的很優，附近有公園、愛河、美術館愛河兩側是很舒適的休閒空間，有人行道空間也有自行車空間附近豪宅林立，完全不吵雜，環境很清幽Tres Bon 好吃在此落腳，斜對角就是願景橋最近台鐵新增了幾座車站，美術館站就是其中一座車站以往要來這附近必須開車或是搭公車，現在有了美術館站後真的方便許多而且就在熱鬧的青海路上，想來這附近的只要搭火車來即可搭火車來到這後才發現原來也可以搭公車到，而且公車站就在店門口簡潔的環境座位，放了許多乾燥花裝飾窗邊座位絕對是光線最美好的，怎麼拍都很美麗店內使用的麵包、吐司都是自家製很受歡迎的鹽可頌跟吐司都可以事先預定，現場買不一定有喔所以如果想吃的話，記得先打電話預留像我訂位用餐時就先請老闆娘幫我留了吐司跟鹽可頌不想到現場結果賣完我會難過XD義式鮪魚帕瑪森起司麵包(145元)真心覺得這麵包好吃耶帕瑪森起司好香，有點脆脆的口感，麵包吃起來不會乾硬原本以為鮪魚是罐頭的，但沒想到也是老闆娘自己做的難怪比鮪魚罐頭的不油膩，吃起來比較有口感，調味上也比較清淡手撕雞肉手作三明治(135元)這配色實在很鮮豔可口，我有看到另一款養生地瓜三明治也是很繽紛大量的生菜、紫衣甘藍、番茄、洋蔥，加上手撕雞肉另外還加了切塊狀的水果整體熱量不高，且十分健康，手撕雞肉熱量也低這餐很適合減肥的人耶，吃完也不會覺得很邪惡阿~鹽可頌(35元/原味)蠻多人推薦的鹽可頌，也是店家每天限量製作有原味跟乳酪口味的兩款可以選這裡的鹽可頌吃起來是很紮實口感的那種，奶油香氣蠻濃郁的但我個人比較喜歡Miopane那種膨鬆的口感不同的口感各有所愛，tres bon的可頌是好吃的，但不是我愛的那種流淚吐司(110元)這裡的吐司真的很不錯，店內的三明治也是使用自己吐司買回家自己烤過再抹些醬也很好吃或是單吃也是很香，口感鬆軟帶有彈性小評論營養健康又吃的豐富，吃完也是可以蠻飽的很喜歡這裡的三明治，覺得那吐司真的是蠻厲害的生菜吃起來也是新鮮脆口我還蠻喜歡紫衣甘藍的，這對減肥的人是個很好的聖品!!喜歡吃新鮮手作麵包的人，絕對不要錯過這家噢~店家資訊地址：高雄市鼓山區河西一路1445號電話：0963-066268鄰近車站：台鐵美術館站營業時間：平日08:30-17:00 假日08:30-15:00 (每月不定休)網址：https://www.facebook.com/tresbon1445/--
0,[食記] 台中 超越水產火鍋超市 肉多多集團新品牌, 1/02,http://www.ptt.cc/bbs/Food/M.1546421190.A.8BF.html,===================================店名：超越水產火鍋超市地址：台中市南屯區公益路二段128號電話：04-23202499營業時間：11:30-01:30 (收客至00:00)消費時間：108.01===================================圖文網誌版：https://gochi2100.pixnet.net/blog/post/466712504結論是不推。上次來吃隔隔隔壁的海記醬油雞看到的首先裝潢風格有點...俗氣二樓座位四人桌約20桌 一樓也有少量座位等候區有一些玩具像是象棋、疊疊樂可以打發等候時間12/29開幕 我1/1連假晚餐去空桌還很多 完全不用排廁所有個不明所以的備品區梳子 漱口水 除味噴霧可以理解放刮鬍刀、洗面乳、除塵滾輪是.........???點餐方式是一樓兩排冰箱拿取食材放菜籃活海鮮的部分有龍蝦、蛤仔、赤蛤、馬蹄蛤龍蝦目前特價中588元/隻蛤仔100克30元計食材區 一面主要是肉品、魚蝦、火鍋料區另一面是菜跟飲料區每盒食材都有標價結帳後店員會幫你推車到樓梯口妳再自己拿著菜籃上二樓 (這一part我也是有點莫名其妙)醬料區除了最基本的另外有砂糖、腐乳、胡麻、花生粉雖然是鴛鴦鍋設計 但兩邊湯頭是一樣的味道有點微妙一點點淡淡的海鮮+肉汁味絕對稱不上好喝 煮了很多菜之後有好一點點在我們點的11項食材中唯一想推的是蛤仔會問你要用蒸的還是煮的我們用蒸的 會放盤鐵網在鍋子上蛤仔肥美新鮮很甜用煮的應該不會那麼優但這功勞應該算在蛤仔本人身上其他肉品肉質普通偏柴牛豬都是猜測多點一些活海鮮會好很多一人低消300元店名有水產 雖然水產食材不多蛤仔是唯一覺得好吃的如果可以重來 我會點一包王子麵+一盒菜 剩下全部點蛤仔如果你對肉多多個品牌 或 火鍋超市這噱頭有興趣的話可以去如果你是想吃個好吃的火鍋 吃別家吧--彰化台中美食紀錄IG 歡迎追蹤:https://www.instagram.com/feed_pig_eat_eat/--                                01/02 17:27
0,[食記] 台北 李家韓國食堂 道地韓式黑罵罵炸醬麵, 1/02,http://www.ptt.cc/bbs/Food/M.1546424645.A.98B.html,   餐廳名稱：李家韓國食堂   消費時間：2019年/1月   地址：台北市內湖區內湖路一段285號 (西湖市場二樓98號攤位)   營業時間：11:30 ~ 14:00 17:30 ～19:50 六日公休   每人平均價位：120   可否刷卡：NA   有無包廂：NA   推薦菜色：韓式炸醬麵   圖文網誌：https://auntie.tw/lees-korean-kitchen/＝＝＝＝＝＝＝＝＝＝最近一直被韓式炸醬麵燒腦，除了看到韓國綜藝節目在中國的實境秀在賣韓式炸醬麵，前幾天的新聞報導又在報導韓式炸醬麵，好想吃好想吃呀！後來找到一家在西湖市場二樓的韓國料理有賣韓式炸醬麵，趁著下午時間去吃了一下，還出乎意料的道地耶！這家李家韓國食堂就在西湖市場二樓的98號攤位，除了韓式炸醬麵外，還有豆腐鍋、豬肉蓋飯等等，選擇不少，另外還有小菜可以自取，酸甜醃蘿蔔味道還不錯，清爽又脆口。餐點價位大多一百出頭，點鍋類還有附上白飯，份量算不少。韓式炸醬麵 NT.120還附上荷包蛋跟清爽黃瓜絲，味道真的很道地，而且麵條是像在韓國吃到的那種超Q麵條，台灣有些餐廳的韓國炸醬麵是用普通拉麵，口感整個落漆，李家韓國食堂的炸醬麵味道就像在韓國吃到的味道，溫和的炸醬味，很道地，不過如果小黃瓜能再放多一點會更好！辣豬肉豆腐鍋 NT.130口味覺得不夠辣，不過湯頭喝起來很順口，加了很多洋蔥、豆芽、豆腐，配著白飯很開胃，不過味道再重一點會更好，比較起來炸醬麵的味道比較出色！李家韓國食堂的韓式炸醬麵個人超愛，如果你也在找正宗的韓式黑罵罵炸醬麵的話，一定要來這吃吃看呀！順帶一提，最近買到韓國廚師李連福的韓式炸醬泡麵也超好吃，有興趣的人可以試試！--                                         01/02 18:24
0,[食記] 台中甜點 可可庫奇, 1/02,http://www.ptt.cc/bbs/Food/M.1546425128.A.FAA.html,"   餐廳名稱：可可庫奇   消費時間：2018.12.7   地址：台中市台中市北區三民路三段201巷7號   電話：(04)22256568   營業時間：11:00~20:00 (週一公休)   每人平均價位：150元上下   有無包廂：N   推薦菜色：馬卡龍水果塔- - - - -點這裡看可愛的馬卡龍水果塔廬山真面目!https://ujoy.pixnet.net/blog/post/44196464-cococookie- - - - -可可庫奇就在我最愛的灰房子義大利麵還有金帛手製霜淇淋附近!可以在可可庫奇吃完下午茶再去灰房子吃義大利麵晚餐或是去金帛手製吃一支霜淇淋後再去可可庫奇享用下午茶以上，都是我常跑的形成 ；P可可庫奇的店面老實說如果不多留心的話很容易就路過了(我也是陰錯陽差注意到的，誰知道一吃成主顧:P )簡白的店面透過玻璃窗清晰可見乾燥花與這間店有緊密的連結果不其然，可可庫奇除了美味甜點之外也有販售乾燥花束看來老闆娘是一個充滿少女心的人呀!可可庫奇室內空間分為點餐區和用餐區兩個完全獨立空間雖然空間都不大，但是五臟六腑具全你可以先到點餐區的冰櫃裡一覽今日哪些甜點正在等待你的青睞之前造訪的時後，可可庫奇的甜點多以塔類為主和許多有名的甜點店、大品牌相比我覺得可可庫奇的水果塔絲毫不遜色但是價格相對親民許多 ( 所以怎麼能不推薦! )我身邊生為檸檬塔重度患者的朋友也是對可可庫奇的檸檬塔讚賞有加檸檬塔雖在眾多塔類當中貌似相對樸實但是卻是很能見真章一家店個性的甜點呀!可可庫奇的檸檬塔不會太甜也不會太酸我目前觀察起來身邊各種口味的人的接受度都很高!先來跟大家介紹可可庫奇的消費方式在可可庫奇這裡內用的話有A(150元)、B(180元)兩種內用組合優惠你可以選擇100元甜點再搭配一杯飲料不加價款的選擇有招牌水果塔和法式千層(口味以現場為主唷)也可補差價更換成別口甜點兩種組合的差別則差在飲料的選擇所以，一杯飲料加一個甜點如果不挑到加價款的話消費起來只要兩百元有找耶( 這個價格是否佛心到不行! )點完餐之後就可以到隔壁的用餐區找座位囉!很奧妙的是，要前往可可庫奇的用餐區之前你必須先走出點餐區的門口再繞到隔壁比防火巷略寬的空間不過不用擔心，我們不用再跑來跑去取餐店員會直接上我們送上桌的!可可庫奇的用餐區雖小但是細緻度卻絲毫不馬虎滿地的花磚與色調一致的坐墊呼應出和諧視覺餐桌椅使用的是適合擺放在庭院、戶外的那種木製桌椅舉頭，則可看見垂吊著的乾燥花點綴米白壁面默默有種來到托斯卡尼並期待著艷陽的感覺在用餐區入口處的右側也提供了乾燥花束、花圈給來客拍照!雖然可可庫奇空間不大卻是會讓你想要不停的按快門捕捉各種巧思呢了解完環境之後就來看我們今天的餐點吧!我先前造訪的時候都是點水果塔私心特別喜歡有哈密瓜球的法式水果塔─哈密瓜波堤 (120元)我喜歡可可庫奇的塔的原因是它的塔皮不會太過乾硬而難切斷和咀嚼喜歡他微微濕潤但不過度潮濕的口感然後搭配微酸的藍莓檸檬餡，真的是太招喚唾液了然後這次造訪看見了先前從未見過的新產品造型馬卡龍水果塔(140元)當然是必須吃一下!這顆馬卡龍水果塔大小接近三吋我們今天遇到的造型是柴犬和麋鹿維尼水果塔的部份則是草莓和藍莓兩種口味( 冬天到了就是要把草莓吃起來 )可可庫奇的馬卡龍也很好吃酥酥的外層包裹著黏牙柔軟的內裡#就是這富有層次的口感讓馬卡龍這甜點如此迷人比起一般馬卡龍的尺寸這一片馬卡龍的大小品嘗起來爽感相對的就高很多XD朋友點的草莓水果塔的草莓之間有著卡士達醬來填補草莓間的空隙我私心最愛吃草莓的時候加煉乳了草莓和奶香就是絕配!而這組合的完美搭配也在這水果塔中得到的驗證我點的則是藍莓塔因為聖誕節近了，所以我的馬卡龍維尼還戴起了鹿角酸度適中的藍莓則像維尼的項鍊一般環繞著馬卡龍水果塔看似簡單，從斷面來看便可知曉它可也是真工夫光是內部結構就可以看到三種內餡的存在!酸酸甜甜的內餡融化在舌頭上頭更有滑順奶香的卡士達醬讓這一切顯得更為順口/以上，就是我再度造訪可可庫奇的心得囉這肯定不會是最後一次啦!!我實在太喜歡它平價到不行的甜點還有很有氛圍的用餐環境推薦給大家!並祝大家用餐愉快[ U JOY的心中評分 ]美食是個人感受和行為喔!可可庫奇(沒有星:喔我恨透你了。★:還有""很大""的進步空間。★★: 請在改進唷。★★★: 普普，沒有太強烈的感覺。★★★★:我喜歡!。★★★★★:你棒棒!!!!!!!)菜色美味★★★★☆服務品質★★★☆☆環境氣氛★★★☆☆回訪意願★★★★☆--                                 01/02 18:36"
